Sugu	Aasta	Kokku	0	1-4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85 ja vanemad	Vanus teadmata
Mehed ja naised	2013	1320174	14021	62108	70313	60377	64021	92203	96742	90681	90945	91676	85332	93140	88342	82220	60379	64688	50293	37164	25529	0
Mehed ja naised	2014	1315819	13581	60092	73072	61283	61311	85651	97499	91694	90268	91851	84690	91948	88964	82132	64621	60720	52273	36746	27423	0
Mehed ja naised	2015	1313271	13625	58089	74943	62939	59842	78493	98197	92841	89906	91668	84792	90413	89250	81921	69475	57028	54557	36191	29101	0
Mehed ja naised	2016	1315944	14047	56556	76592	64250	59938	74489	99140	94283	89936	91062	85854	87234	88728	83510	73809	54248	55174	36430	30664	0
Mehed	1923	520366	10369	34558	41992	55661	53918	47377	37901	36503	34323	31933	31471	25892	24113	20560	14419	10027	5413	2757	1179	0
Mehed	1924	523837	11512	35011	40181	54438	54511	48333	39670	35728	35005	31987	31234	27086	23489	21075	14993	10097	5556	2732	1199	0
Mehed	1925	524777	11014	37272	37347	53456	54366	49714	40866	35420	34893	32100	30552	28616	22463	21435	15331	10273	5665	2840	1154	0
Mehed	1926	524876	10521	38498	37104	50079	54898	50629	41679	35516	34576	32311	30215	28837	22566	21228	15877	10382	5996	2754	1210	0
Mehed	1927	524305	10253	37721	39515	45965	54349	51240	43240	35651	34533	32527	29862	28946	22728	21204	16069	10606	6085	2680	1131	0
Mehed	1928	523474	10129	37161	42026	40821	53990	51448	44780	36137	34649	32550	29822	28771	23217	20708	16561	10546	6290	2663	1205	0
Mehed	1929	524166	10284	36018	43792	38615	52998	51729	45750	37660	33772	33006	29870	28362	24233	20073	16901	10912	6321	2716	1154	0
Mehed	1930	523168	9824	35594	45676	35856	51970	51777	47091	38689	33532	32794	29889	27843	25469	19032	17061	10985	6275	2730	1081	0
Mehed	1931	524460	9937	35289	46492	35861	48992	52250	48001	39678	33662	32577	30295	27584	25667	19287	16995	11487	6371	2957	1078	0
Mehed	1932	525380	9944	35315	45727	38653	44924	51932	48672	41389	33793	32650	30537	27417	25746	19470	16972	11673	6507	3033	1026	0
Mehed	1933	527589	9910	35260	45395	41957	39936	52094	49126	42884	34568	32814	30742	27542	25711	20024	16708	12124	6560	3174	1060	0
Mehed	1934	528043	9043	34879	44732	43987	37567	51583	49362	44039	35972	31949	31157	27723	25269	21032	16220	12426	6805	3219	1079	0
Mehed	1935	529410	8874	34024	44243	45930	35077	50655	49893	45606	37101	31944	31057	27860	25112	22246	15495	12814	6991	3300	1188	0
Mehed	1936	530262	9182	33101	43705	46710	35383	48031	50430	46535	38280	32063	30888	28376	24912	22414	15696	12752	7293	3267	1244	0
Mehed	1937	530435	9350	32422	43479	45772	38274	43944	50321	47330	40039	32190	30973	28556	24862	22504	15811	12719	7415	3244	1230	0
Mehed	1938	530923	9328	32124	43000	45046	41555	38987	50636	47804	41447	32974	31065	28705	24939	22432	16214	12420	7739	3232	1276	0
Mehed	1939	532417	9470	32605	41901	44208	43474	36744	50278	48193	42734	34445	30267	29137	25160	22071	17173	11900	8010	3362	1285	0
Mehed	1950	432506	10007	33419	38613	42407	36457	32317	26433	21477	31613	31916	30329	24027	20484	17761	14247	10167	6632	2873	1327	0
Mehed	1951	447177	9799	36027	37660	43767	38019	38032	29062	22336	30400	32541	30349	25242	20310	18152	14375	10250	6521	3002	1333	0
Mehed	1952	460175	10058	36767	37135	45329	40082	41294	32635	24088	28737	32104	31323	25934	20574	18313	14629	10176	6676	2985	1336	0
Mehed	1953	470927	10105	37436	38508	43701	42731	43581	36185	26896	26121	32445	31051	27287	20745	18501	14523	10275	6542	2989	1305	0
Mehed	1954	486088	9979	38048	41477	41456	46100	45700	40728	28968	25756	32605	30931	28201	21591	18436	14726	10493	6512	3114	1267	0
Mehed	1955	496035	10606	38144	44243	39737	47684	46078	44165	31285	24563	32334	31000	28936	22457	18371	14815	10603	6484	3299	1231	0
Mehed	1956	503586	10254	38984	46281	38574	47851	45514	47771	32986	24806	30995	31679	28949	23568	18218	15198	10740	6564	3329	1325	0
Mehed	1957	507687	9916	39295	47007	37828	47966	44939	48842	35481	25816	29180	31252	29921	24105	18423	15380	11023	6487	3442	1384	0
Mehed	1958	515564	9849	39109	47855	39117	45869	47103	49757	38554	28283	26522	31673	29712	25448	18578	15596	11048	6626	3429	1436	0
Mehed	1959	523118	9787	39094	47945	41780	43154	49208	49217	41949	29651	25751	31783	29631	26284	19336	15500	11253	6886	3387	1500	22
Mehed	1960	532034	10083	38867	48316	44157	42623	48886	49012	45447	32010	24634	31678	29875	27128	20340	15453	11478	7030	3340	1592	85
Mehed	1961	538783	10180	38793	48759	45879	41144	48771	48310	48893	33798	24771	30483	30575	27316	21377	15435	11854	7175	3492	1623	155
Mehed	1962	547734	10146	39788	48796	47043	39777	49929	48711	50816	36634	26082	28784	30330	28398	22052	15701	11963	7502	3446	1625	211
Mehed	1963	557386	10293	40729	48931	48174	40436	49276	49867	51650	40188	28519	26028	30682	28301	23297	15952	12136	7479	3585	1599	264
Mehed	1964	567580	9820	41272	49806	48417	43728	47176	51816	51165	43716	30207	25346	30821	28215	24054	16707	12030	7632	3724	1605	323
Mehed	1965	578142	10129	41195	50420	49000	47037	44690	53992	50824	47083	32437	24226	30787	28265	24812	17410	12069	7813	3884	1687	382
Mehed	1966	588549	9497	41112	50930	49816	50478	44556	54545	50130	50582	34531	24401	29723	28800	25117	18081	12090	8032	3986	1708	434
Mehed	1967	595864	9446	40404	51750	49795	52715	42870	55432	50119	52309	37172	25963	27942	28681	25857	18797	12182	8112	4112	1722	484
Mehed	1968	601452	9405	39378	52293	49927	53822	43233	53745	50639	52302	41071	28404	25485	28928	25761	19851	12441	8253	4157	1817	540
Mehed	1969	611290	10127	39017	52196	50930	53780	47172	51271	52816	51599	44445	30011	24929	29146	25505	20588	12874	8140	4228	1920	596
Mehed	1970	618455	9851	39188	52175	51066	52851	52542	48137	54754	50496	47460	32174	23701	29188	25532	21038	13322	8093	4252	1986	649
Mehed	1971	626720	10779	39798	51725	51768	53317	55031	45979	55666	49810	50567	34238	23661	28315	25926	21323	13665	8170	4362	2022	598
Mehed	1972	635786	11237	41380	51049	52783	53063	57054	44372	57080	49878	52213	36510	25214	26450	26054	21894	14349	8150	4474	2047	535
Mehed	1973	643439	11061	43362	49833	53610	53508	58016	45642	54932	50666	52044	40327	27485	24063	26351	21891	15276	8249	4500	2139	484
Mehed	1974	650352	10717	44194	50089	53481	54213	58152	49403	51494	52527	50794	43224	28837	23460	26467	21716	15914	8649	4383	2212	426
Mehed	1975	656622	10797	44813	50097	53094	54802	57805	53717	47919	54256	49564	45856	30825	22227	26584	21802	16380	9046	4429	2240	369
Mehed	1976	662555	10956	44743	51555	51819	55452	58683	56902	45202	54507	48610	48625	32640	22036	25827	22124	16535	9306	4428	2304	301
Mehed	1977	667676	10901	44459	53297	50878	55810	59016	58267	43553	55320	48379	49984	34721	23435	23908	22228	16915	9635	4393	2326	251
Mehed	1978	673379	11258	44193	55177	49431	55997	59418	59247	44692	53198	49171	49710	38076	25610	21642	22458	16834	10196	4423	2461	187
Mehed	1979	677274	10806	44639	55591	49675	55615	59822	59202	47861	49536	50711	48473	40713	26660	21072	22507	16702	10595	4623	2338	133
Mehed	1980	681573	11250	44614	56040	50179	55121	58796	59290	51592	46369	52395	47235	43093	28395	19890	22451	16826	10907	4744	2259	127
Mehed	1981	686506	11342	45006	56210	51815	53770	58218	60317	54804	43878	52498	46320	45673	30054	19679	21771	16945	10975	4903	2211	117
Mehed	1982	692408	11714	45374	56222	53607	53270	57642	60666	56352	42405	53516	46196	46853	31965	20917	20104	16992	11302	5017	2201	93
Mehed	1983	697982	11712	45804	56290	55732	52156	57635	60872	57361	43422	51460	46854	46520	35033	22728	18105	17253	11348	5392	2218	87
Mehed	1984	703214	12175	46546	56265	56404	52528	57062	60936	57661	46495	47882	48445	45363	37463	23603	17698	17291	11282	5734	2309	72
Mehed	1985	708088	12132	47379	56650	56822	52961	56490	60672	57894	50194	44609	49973	44145	39562	25124	16617	17208	11290	5985	2319	62
Mehed	1986	713979	11928	48212	57163	57064	54422	55118	60742	58880	53393	42440	50094	43445	41766	26498	16393	16614	11325	6010	2432	40
Mehed	1987	720578	12221	48592	57831	56932	56277	54154	60880	59391	54885	40933	51158	43321	42889	28245	17366	15391	11382	6205	2495	30
Mehed	1988	727183	12806	49097	58153	56747	58462	52872	61083	59731	55749	42173	49316	44043	42618	31185	18879	13762	11601	6198	2690	18
Mehed	1989	731392	12412	49436	58987	56593	58744	53315	60212	59920	55992	45058	46122	45619	41536	33278	19785	13557	11677	6246	2903	0
Mehed	1990	734538	12369	49480	59729	56778	56463	55144	59210	59907	56280	48735	42908	47058	40592	34958	21105	12769	11673	6310	3070	0
Mehed	1991	733549	11352	49475	59923	56796	55376	56164	57043	59554	56877	51420	40547	47031	39757	36760	22139	12494	11336	6399	3106	0
Mehed	1992	726755	9732	48209	59817	56738	54738	54988	54583	58860	56802	52369	38780	47680	39368	37313	23449	13260	10444	6422	3203	0
Mehed	1993	703305	9026	44070	58648	55096	53368	51521	50331	56284	54827	51522	39036	45061	39428	36615	25362	14207	9127	6527	3249	0
Mehed	1994	686000	7678	40495	57511	54758	51869	51082	47723	53590	53312	50322	40888	41472	40172	35408	26564	14678	8874	6408	3196	0
Mehed	1995	671264	7004	36135	56881	54759	51026	50231	46085	51191	51933	49147	43102	38081	40765	34125	27528	15396	8264	6315	3296	0
Mehed	1996	659355	6762	32227	55749	54681	50609	49383	45953	48676	50755	48749	44557	35554	40130	33165	28737	16143	8043	6155	3327	0
