Sugu	Aasta	Kokku	0	1-4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85 ja vanemad	Vanus teadmata
Naised	1957	657322	9326	37516	44785	36802	46780	48047	55203	54186	37716	41431	45121	43517	39833	34592	29617	23866	15516	9096	4372	0
Naised	1958	663153	9173	37350	45702	37757	45299	48147	55633	54610	42460	37660	45830	43332	41302	34608	30667	23922	16051	9139	4511	0
Naised	1959	668310	9199	37304	45631	40397	42643	48990	53404	55940	45617	36334	45748	43519	41866	35553	30764	24804	16632	9201	4746	18
Naised	1960	674328	9527	36979	45892	42329	40949	50204	51995	55854	49273	34347	45677	43801	42697	36671	31159	25203	17278	9359	5058	76
Naised	1961	677929	9674	37016	46572	43511	39414	50089	50307	56117	51467	34744	43518	45101	41856	38251	31752	25557	17781	9788	5287	127
Naised	1962	685707	9881	37865	46901	43957	38442	50830	50755	55918	53780	37252	41222	45009	42910	38693	32433	25800	18580	9877	5426	176
Naised	1963	692418	9473	39017	47095	44850	39015	49638	51101	56301	54495	41816	37435	45638	42912	39992	32559	26658	18558	10233	5395	237
Naised	1964	700330	9269	39394	47873	45071	41634	47447	52422	54598	55868	44908	35978	45722	43272	40694	33426	26845	19256	10733	5621	299
Naised	1965	708120	9363	39184	48338	45911	43905	45160	54395	53377	56271	48747	34044	45633	43690	41407	34415	27132	19683	11098	6007	360
Naised	1966	714321	9186	38779	48773	47322	45993	43242	54806	52265	57007	51705	34350	43614	44820	40839	35712	27666	19990	11458	6373	421
Naised	1967	718459	8998	38002	49592	47866	46713	41002	55428	52191	56893	53756	37058	40997	44806	41672	36197	28195	20217	11955	6442	479
Naised	1968	722117	9233	37320	49975	48175	47064	41622	53216	52312	56741	54759	41476	37183	45161	41976	37306	28422	20876	12112	6647	541
Naised	1969	727568	9559	37293	50021	49028	47162	44154	50079	53568	54981	55841	44614	35687	45217	42233	37863	29277	21013	12510	6869	599
Naised	1970	733185	9458	37557	49813	49185	47828	47347	46909	55613	53501	56253	48414	33686	45128	42690	38433	30118	21017	12687	6894	654
